Type,Category,Traditional_Chinese,Korean_Translation
Adjective,감정개성,可愛的,귀여운
Adjective,감정개성,溫柔的,온순한
Adjective,감정개성,親切的,친절한
Adjective,감정개성,友善的,친근한
Adjective,감정개성,暖心的,따뜻한
Adjective,감정개성,酷炫的,멋진
Adjective,감정개성,帥氣的,멋있는
Adjective,감정개성,有型的,스타일있는
Adjective,감정개성,時尚的,패셔너블한
Adjective,감정개성,潮流的,트렌디한
Adjective,감정개성,活潑的,활발한
Adjective,감정개성,有活力的,활기찬
Adjective,감정개성,開朗的,밝은
Adjective,감정개성,陽光的,햇살같은
Adjective,감정개성,元氣滿滿的,에너지 넘치는
Adjective,감정개성,溫暖的,따뜻한
Adjective,감정개성,舒服的,편안한
Adjective,감정개성,療癒的,힐링되는
Adjective,감정개성,放鬆的,편안한
Adjective,감정개성,安心的,마음놓이는
Adjective,감정개성,獨特的,독특한
Adjective,감정개성,特別的,특별한
Adjective,감정개성,有個性的,개성있는
Adjective,감정개성,創意的,창의적인
Adjective,감정개성,原創的,오리지널한
Adjective,감정개성,有趣的,재밌는
Adjective,감정개성,好笑的,웃긴
Adjective,감정개성,幽默的,유머러스한
Adjective,감정개성,機智的,기지있는
Adjective,감정개성,搞笑的,재미있는
Adjective,대만유행어,超棒的,엄청 좋은
Adjective,대만유행어,很讚的,짱 좋은
Adjective,대만유행어,厉害的,대단한
Adjective,대만유행어,強大的,강력한
Adjective,대만유행어,頂級的,최고급의
Adjective,대만유행어,夯的,핫한
Adjective,대만유행어,紅的,인기있는
Adjective,대만유행어,爆紅的,대박인기
Adjective,대만유행어,火熱的,뜨거운
Adjective,대만유행어,當紅的,인기절정
Adjective,대만유행어,卡哇伊的,귀여운
Adjective,대만유행어,萌萌的,귀염뽀짝한
Adjective,대만유행어,Q版的,큐버전
Adjective,대만유행어,軟萌的,부드럽고 귀여운
Adjective,대만유행어,佛系的,불계의
Adjective,대만유행어,隨性的,자유분방한
Adjective,대만유행어,隨興的,즉흥적인
Adjective,대만유행어,隨和的,순화한
Adjective,대만유행어,輕鬆的,가벼운
Adjective,대만유행어,文青的,문청
Adjective,대만유행어,小清新的,소청신
Adjective,대만유행어,森系的,포레스트계
Adjective,대만유행어,復古的,레트로
Adjective,대만유행어,懷舊的,향수어린
Adjective,대만유행어,奢華的,사치스러운
Adjective,대만유행어,高級的,고급스러운
Adjective,대만유행어,精緻的,정교한
Adjective,대만유행어,質感的,질감있는
Adjective,대만유행어,優雅的,우아한
Adjective,음성사운드,甜美的,달콤한
Adjective,음성사운드,磁性的,자성의
Adjective,음성사운드,清亮的,맑은
Adjective,음성사운드,清澈的,투명한
Adjective,음성사운드,乾淨的,깨끗한
Adjective,음성사운드,溫柔的,부드러운
Adjective,음성사운드,柔和的,온화한
Adjective,음성사운드,悅耳的,듣기좋은
Adjective,음성사운드,動聽的,감동적인
Adjective,음성사운드,迷人的,매혹적인
Adjective,음성사운드,有節奏的,리듬감있는
Adjective,음성사운드,旋律感的,멜로디컬한
Adjective,음성사운드,和諧的,조화로운
Adjective,음성사운드,優美的,아름다운
Adjective,음성사운드,有力的,힘있는
Adjective,음성사운드,強烈的,강렬한
Adjective,음성사운드,震撼的,충격적인
Adjective,음성사운드,深沉的,깊은
Adjective,음성사운드,渾厚的,풍부한
Adjective,미학표현,簡約的,심플한
Adjective,미학표현,極簡的,미니멀한
Adjective,미학표현,清爽的,상쾌한
Adjective,미학표현,乾淨的,깨끗한
Adjective,미학표현,俐落的,깔끔한
Adjective,미학표현,典雅的,고전적인
Adjective,미학표현,優雅的,우아한
Adjective,미학표현,精緻的,정교한
Adjective,미학표현,高雅的,고상한
Adjective,미학표현,氣質的,기품있는
Adjective,미학표현,復古的,복고풍
Adjective,미학표현,懷舊的,향수어린
Adjective,미학표현,經典的,클래식한
Adjective,미학표현,古典的,고전적인
Adjective,미학표현,傳統的,전통적인
Adjective,미학표현,夢幻的,환상적인
Adjective,미학표현,浪漫的,로맨틱한
Adjective,미학표현,唯美的,아름다운
Adjective,미학표현,詩意的,시적인
Adjective,미학표현,仙氣的,선녀같은
Noun,동물,貓咪,고양이
Noun,동물,狗狗,강아지
Noun,동물,兔子,토끼
Noun,동물,熊貓,판다
Noun,동물,無尾熊,코알라
Noun,동물,企鵝,펭귄
Noun,동물,海豚,돌고래
Noun,동물,海豹,바다표범
Noun,동물,水獺,수달
Noun,동물,白熊,북극곰
Noun,동물,老鷹,독수리
Noun,동물,貓頭鷹,부엉이
Noun,동물,鸚鵡,앵무새
Noun,동물,天鵝,백조
Noun,동물,火鶴,플라밍고
Noun,동물,獅子,사자
Noun,동물,老虎,호랑이
Noun,동물,狐狸,여우
Noun,동물,狼,늑대
Noun,동물,小鹿,사슴
Noun,동물,獨角獸,유니콘
Noun,동물,龍,용
Noun,동물,鳳凰,봉황
Noun,동물,天使,천사
Noun,동물,精靈,요정
Noun,디저트단맛,珍珠奶茶,버블티
Noun,디저트단맛,雞蛋糕,계란빵
Noun,디저트단맛,鳳梨酥,파인애플케이크
Noun,디저트단맛,太陽餅,태양빵
Noun,디저트단맛,牛軋糖,누가
Noun,디저트단맛,刨冰,빙수
Noun,디저트단맛,豆花,두화
Noun,디저트단맛,仙草,선초
Noun,디저트단맛,愛玉,애옥
Noun,디저트단맛,粉圓,타피오카볼
Noun,디저트단맛,馬卡龍,마카롱
Noun,디저트단맛,蛋糕,케이크
Noun,디저트단맛,甜甜圈,도넛
Noun,디저트단맛,鬆餅,와플
Noun,디저트단맛,泡芙,슈크림
Noun,디저트단맛,草莓,딸기
Noun,디저트단맛,芒果,망고
Noun,디저트단맛,荔枝,리치
Noun,디저트단맛,龍眼,용안
Noun,디저트단맛,鳳梨,파인애플
Noun,디저트단맛,巧克力,초콜릿
Noun,디저트단맛,焦糖,카라멜
Noun,디저트단맛,香草,바닐라
Noun,디저트단맛,抹茶,말차
Noun,디저트단맛,紅豆,팥
Noun,색상질감,櫻花粉,벚꽃핑크
Noun,색상질감,薄荷綠,민트그린
Noun,색상질감,天空藍,하늘파랑
Noun,색상질감,薰衣草紫,라벤더퍼플
Noun,색상질감,奶茶色,밀크티색
Noun,색상질감,珍珠白,펄화이트
Noun,색상질감,炭黑,차콜블랙
Noun,색상질감,玫瑰金,로즈골드
Noun,색상질감,香檳金,샴페인골드
Noun,색상질감,彩虹色,무지개색
Noun,색상질감,粉嫩,파스텔
Noun,색상질감,漸層,그라데이션
Noun,색상질감,全息,홀로그램
Noun,색상질감,珠光,펄
Noun,색상질감,亮粉,글리터
Noun,색상질감,霧面,매트
Noun,색상질감,光澤,글로시
Noun,색상질감,金屬,메탈릭
Noun,색상질감,霓虹,네온
Noun,색상질감,閃爍,반짝임
Noun,감정추상,心情,기분
Noun,감정추상,感覺,느낌
Noun,감정추상,情緒,감정
Noun,감정추상,心境,심경
Noun,감정추상,氛圍,분위기
Noun,감정추상,夢想,꿈
Noun,감정추상,希望,희망
Noun,감정추상,愛情,사랑
Noun,감정추상,友情,우정
Noun,감정추상,溫情,온정
Noun,감정추상,回憶,회상
Noun,감정추상,思念,그리움
Noun,감정추상,懷念,그리워함
Noun,감정추상,嚮往,동경
Noun,감정추상,憧憬,동경
Noun,감정추상,靈魂,영혼
Noun,감정추상,心靈,마음
Noun,감정추상,精神,정신
Noun,감정추상,意境,의경
Noun,감정추상,感動,감동
Noun,감정추상,幸福,행복
Noun,감정추상,快樂,즐거움
Noun,감정추상,甜蜜,달콤함
Noun,감정추상,溫馨,따뜻함
Noun,감정추상,美好,아름다움
Noun,음악엔터,歌手,가수
Noun,음악엔터,主播,방송인
Noun,음악엔터,配音員,성우
Noun,음악엔터,音樂人,뮤지션
Noun,음악엔터,表演者,공연자
Noun,음악엔터,鋼琴,피아노
Noun,음악엔터,吉他,기타
Noun,음악엔터,小提琴,바이올린
Noun,음악엔터,爵士鼓,드럼
Noun,음악엔터,管樂器,관악기
Noun,음악엔터,旋律,멜로디
Noun,음악엔터,節拍,비트
Noun,음악엔터,和聲,하모니
Noun,음악엔터,合唱,합창
Noun,음악엔터,前奏,전주
Noun,음악엔터,演唱會,콘서트
Noun,음악엔터,音樂節,음악축제
Noun,음악엔터,歌唱,노래
Noun,음악엔터,直播,라이브
Noun,음악엔터,錄音,녹음
Noun,음악엔터,串流主,스트리머
Noun,음악엔터,創作者,크리에이터
Noun,음악엔터,藝人,연예인
Noun,음악엔터,表演者,퍼포머
Noun,시간공간,午夜,자정
Noun,시간공간,日出,일출
Noun,시간공간,夕陽,석양
Noun,시간공간,黃昏,황혼
Noun,시간공간,星夜,별밤
Noun,시간공간,月亮,달
Noun,시간공간,太陽,태양
Noun,시간공간,星星,별
Noun,시간공간,宇宙,우주
Noun,시간공간,銀河,은하수
Noun,시간공간,房間,방
Noun,시간공간,空間,공간
Noun,시간공간,工作室,작업실
Noun,시간공간,舞台,무대
Noun,시간공간,錄音室,녹음실
Noun,시간공간,瞬間,순간
Noun,시간공간,永恆,영원
Noun,시간공간,時光,시간
Noun,시간공간,歲月,세월
Noun,시간공간,年華,년화
Noun,감각체험,觸感,촉감
Noun,감각체험,溫度,온도
Noun,감각체험,香氣,향기
Noun,감각체험,味道,맛
Noun,감각체험,聲響,소리
Noun,감각체험,記憶,기억
Noun,감각체험,瞬間,순간
Noun,감각체험,永久,영구
Noun,감각체험,變化,변화
Noun,감각체험,流動,흐름
Noun,감각체험,寧靜,고요함
Noun,감각체험,喧嘩,시끄러움
Noun,감각체험,和諧,조화
Noun,감각체험,律動,리듬
Noun,감각체험,節奏,박자
Noun,감각체험,光影,빛과 그림자
Noun,감각체험,明暗,명암
Noun,감각체험,色彩,색채
Noun,감각체험,線條,선
Noun,감각체험,形狀,모양
Noun,대만특색,夜市,야시장
Noun,대만특색,小吃,간식
Noun,대만특색,攤販,노점상
Noun,대만특색,老街,옛거리
Noun,대만특색,傳統建築,전통건축
Noun,대만특색,交通工具,교통수단
Noun,대만특색,大眾運輸,대중교통
Noun,대만특색,便利商店,편의점
Noun,대만특색,飲料店,음료수점
Noun,대만특색,溫泉,온천
Noun,대만특색,山景,산경치
Noun,대만특색,海景,바다경치
Noun,대만특색,田園,전원
Noun,대만특색,鄉村,시골
Noun,대만특색,傳統,전통
Noun,대만특색,現代,현대
Noun,대만특색,融合,융합
Noun,대만특색,創新,혁신
Noun,대만특색,在地,현지
Noun,유행문화,網紅,인플루언서
Noun,유행문화,直播主,스트리머
Noun,유행문화,創作者,크리에이터
Noun,유행문화,主持人,진행자
Noun,유행문화,迷因,밈
Noun,유행문화,梗圖,짤방
Noun,유행문화,表情包,이모티콘
Noun,유행문화,貼圖,스티커
Noun,유행문화,動圖,GIF
Noun,유행문화,社群,커뮤니티
Noun,유행문화,粉絲,팬
Noun,유행문화,追蹤者,팔로워
Noun,유행문화,訂閱者,구독자
Noun,유행문화,觀眾,관객
Noun,유행문화,話題,화제
Noun,유행문화,熱搜,핫검색어
Noun,유행문화,爆紅,대박인기
Noun,유행문화,洗版,도배
Noun,유행문화,刷屏,스크롤
